,frete,avaliação_cliente,peso_gr,valor_pagamento,tempo_processamento,tempo_espera,entregue_no_prazo
21679,7.39,1,250.0,125.16,1.0,2.0,1
21683,19.49,5,175.0,249.39,0.0,7.0,1
21684,16.01,5,4338.0,195.91,1.0,12.0,0
21685,14.1,4,150.0,40.09,0.0,9.0,1
21686,18.89,1,750.0,64.11,25.0,59.0,0
21687,12.75,3,750.0,109.75,1.0,7.0,1
21688,26.37,5,488.0,181.81,4.0,15.0,0
21689,14.44,5,2338.0,46.43,3.0,7.0,1
21690,21.66,5,4105.0,138.96,2.0,10.0,1
21691,17.37,4,1900.0,100.0,0.0,9.0,1
21692,17.37,4,1900.0,7.36,0.0,9.0,1
21693,50.0,5,9450.0,260.0,3.0,20.0,0
21694,13.46,4,1750.0,67.36,2.0,9.0,1
21695,18.2,4,2250.0,153.2,1.0,19.0,0
21696,7.78,5,200.0,57.68,1.0,2.0,1
21697,63.15,4,1150.0,187.15,1.0,16.0,0
21698,25.04,4,9700.0,258.02,0.0,10.0,1
21700,7.78,5,100.0,27.77,5.0,6.0,1
21701,16.11,1,5700.0,65.11,4.0,36.0,0
21702,18.44,5,1950.0,69.34,5.0,8.0,1
21703,37.12,5,5250.0,297.12,2.0,4.0,1
21704,13.56,5,750.0,70.53,0.0,7.0,1
21705,13.71,4,1100.0,31.21,0.0,5.0,1
21706,35.09,4,3250.0,224.99,2.0,14.0,0
21707,23.35,4,250.0,113.25,0.0,9.0,1
21709,16.11,5,550.0,62.01,6.0,16.0,0
21710,11.85,4,550.0,48.84,1.0,7.0,1
21711,29.1,5,900.0,129.09,2.0,18.0,0
21712,19.32,4,333.0,67.22,3.0,9.0,1
21713,7.39,4,175.0,20.29,1.0,13.0,0
21714,24.64,5,8800.0,209.08,0.0,2.0,1
21716,20.07,5,1350.0,138.97,2.0,14.0,0
21717,22.07,5,710.0,711.07,2.0,12.0,0
21718,23.73,3,2350.0,239.0,5.0,7.0,1
21719,15.47,3,900.0,239.0,5.0,7.0,1
21720,15.23,5,125.0,35.22,2.0,15.0,0
21721,14.11,4,250.0,65.01,6.0,24.0,0
21722,12.18,5,250.0,72.58,0.0,3.0,1
21723,8.52,5,250.0,72.58,0.0,3.0,1
21725,51.5,3,100.0,162.15,2.0,15.0,0
21726,9.27,5,350.0,62.17,2.0,6.0,1
21727,17.67,5,1750.0,155.14,3.0,12.0,0
21729,14.32,5,500.0,400.64,1.0,4.0,1
21731,14.8,3,9200.0,104.79,9.0,20.0,0
21732,15.57,1,250.0,132.57,6.0,52.0,0
21733,12.87,5,500.0,42.86,1.0,5.0,1
21734,12.48,2,1050.0,27.38,5.0,13.0,0
21735,23.14,4,1383.0,103.04,1.0,15.0,0
21736,24.38,5,11850.0,1288.74,1.0,3.0,1
21738,27.0,5,2600.0,126.9,1.0,8.0,1
21739,22.53,5,314.0,139.43,4.0,22.0,0
21740,25.74,5,8250.0,180.8,1.0,14.0,0
21741,16.25,5,600.0,86.15,0.0,8.0,1
21742,20.61,5,650.0,100.6,1.0,18.0,0
21743,20.07,5,1550.0,139.07,1.0,14.0,0
21744,13.81,5,1850.0,193.71,4.0,9.0,1
21745,34.51,1,6950.0,59.84,6.0,42.0,0
21746,34.51,1,6950.0,112.67,6.0,42.0,0
21747,22.14,5,150.0,52.04,0.0,7.0,1
21748,10.81,5,500.0,270.71,6.0,16.0,0
21749,21.77,1,178.0,160.67,2.0,41.0,0
21750,18.97,1,194.0,143.86,1.0,7.0,1
21751,14.15,5,400.0,71.14,1.0,9.0,1
21752,9.49,2,389.0,199.39,3.0,4.0,1
21753,15.42,5,200.0,60.41,2.0,4.0,1
21754,17.93,4,7350.0,40.92,5.0,14.0,0
21755,13.37,5,400.0,63.36,4.0,7.0,1
21756,21.54,5,10800.0,171.44,4.0,11.0,0
21757,13.97,5,950.0,70.07,1.0,5.0,1
21758,7.78,3,250.0,72.78,1.0,7.0,1
21759,17.06,1,1110.0,64.71,6.0,34.0,0
21760,13.37,5,1450.0,37.27,2.0,8.0,1
21761,17.67,5,1550.0,155.14,6.0,13.0,0
21763,21.18,4,7850.0,65.78,5.0,9.0,1
21764,14.73,5,500.0,94.63,1.0,13.0,0
21765,13.63,5,335.0,183.63,4.0,6.0,1
21766,14.71,5,200.0,91.79,1.0,15.0,0
21767,8.3,1,300.0,158.3,9.0,18.0,0
21768,17.87,1,7150.0,106.87,3.0,10.0,1
21769,20.29,4,1250.0,69.29,1.0,6.0,1
21770,17.67,5,1650.0,66.67,3.0,17.0,0
21771,7.39,5,300.0,57.38,1.0,2.0,1
21772,20.87,5,1550.0,75.03,1.0,6.0,1
21773,41.61,5,7000.0,131.51,1.0,7.0,1
21774,37.09,5,4500.0,286.09,2.0,7.0,1
21775,8.72,5,350.0,88.62,2.0,4.0,1
21776,21.36,1,2450.0,146.36,4.0,27.0,0
21777,7.78,5,50.0,21.77,3.0,6.0,1
21779,8.72,5,450.0,73.71,2.0,3.0,1
21780,8.37,5,150.0,98.37,2.0,3.0,1
21781,34.94,5,2450.0,234.84,2.0,10.0,1
21782,14.49,5,1150.0,71.48,1.0,7.0,1
21783,15.1,1,300.0,74.2,2.0,11.0,0
21785,93.65,5,5450.0,1133.62,4.0,11.0,0
21787,16.12,3,2543.0,166.02,4.0,9.0,1
21788,25.54,1,700.0,195.54,5.0,19.0,0
21789,18.59,1,9150.0,64.49,10.0,12.0,0
21790,53.79,4,12275.0,223.78,7.0,19.0,0
21791,11.32,5,4475.0,111.31,1.0,2.0,1
21792,30.69,5,5200.0,160.07,5.0,7.0,1
21793,3.07,5,147.0,160.07,5.0,7.0,1
21794,18.73,3,8217.0,155.67,16.0,17.0,0
21795,16.11,5,175.0,63.6,4.0,18.0,0
21796,18.51,5,300.0,156.83,1.0,5.0,1
21797,18.52,5,300.0,156.83,1.0,5.0,1
21798,7.78,3,350.0,32.77,5.0,27.0,0
21799,12.76,1,4338.0,50.0,1.0,35.0,0
21800,12.76,1,4338.0,42.66,1.0,35.0,0
21803,24.8,5,3767.0,1414.7,1.0,7.0,1
21804,7.81,3,250.0,85.81,0.0,1.0,1
21805,22.06,4,600.0,44.05,1.0,13.0,0
21806,16.88,3,450.0,100.0,7.0,16.0,0
21807,16.88,3,450.0,14.77,7.0,16.0,0
21808,17.98,4,1733.0,122.34,1.0,23.0,0
21809,32.15,4,10150.0,232.05,3.0,9.0,1
21810,26.65,4,6100.0,76.55,9.0,28.0,0
21811,25.23,5,6800.0,156.23,0.0,5.0,1
21812,16.36,5,1200.0,246.35,2.0,9.0,1
21813,13.56,5,450.0,142.56,2.0,6.0,1
21814,34.23,5,7850.0,284.13,0.0,4.0,1
21815,27.87,5,4800.0,97.77,0.0,12.0,0
21816,7.49,5,250.0,194.99,0.0,2.0,1
21817,7.5,5,200.0,194.99,0.0,2.0,1
21818,7.78,5,133.0,57.68,0.0,1.0,1
21819,7.64,4,150.0,117.96,2.0,3.0,1
21820,9.94,4,400.0,69.84,6.0,7.0,1
21821,17.63,5,200.0,61.93,2.0,14.0,0
21822,38.49,5,308.0,218.48,3.0,19.0,0
21823,18.23,5,150.0,37.23,1.0,9.0,1
21824,12.79,5,250.0,42.69,2.0,11.0,0
21825,11.82,1,950.0,99.82,2.0,9.0,1
21826,21.58,1,5000.0,187.16,1.0,11.0,0
21828,13.39,3,2400.0,163.29,3.0,10.0,1
21829,15.1,4,100.0,60.0,3.0,10.0,1
21831,20.72,5,550.0,270.72,4.0,11.0,0
21832,13.08,5,1225.0,118.98,2.0,9.0,1
21833,7.78,3,150.0,55.78,1.0,2.0,1
21834,16.79,5,400.0,65.79,1.0,10.0,1
21835,33.24,5,1625.0,146.24,4.0,26.0,0
21836,14.56,1,600.0,177.37,2.0,6.0,1
21838,7.28,1,650.0,177.37,2.0,6.0,1
21839,11.85,5,200.0,61.75,1.0,6.0,1
21840,8.11,5,250.0,38.01,3.0,8.0,1
21841,23.35,4,1300.0,133.25,2.0,8.0,1
21842,21.96,5,4463.0,231.96,1.0,8.0,1
21843,21.38,1,425.0,521.37,4.0,47.0,0
21844,16.24,5,900.0,84.24,1.0,6.0,1
21845,17.74,5,150.0,265.46,1.0,14.0,0
21847,11.85,5,300.0,59.44,1.0,12.0,0
21848,7.78,4,200.0,47.68,4.0,12.0,0
21849,15.35,5,733.0,100.25,3.0,14.0,0
21850,16.99,5,305.0,76.89,1.0,8.0,1
21851,77.13,5,19150.0,476.13,3.0,10.0,1
21852,7.81,5,175.0,44.03,1.0,3.0,1
21853,7.81,5,175.0,43.77,1.0,3.0,1
21854,13.58,5,1350.0,116.95,0.0,8.0,1
21855,17.92,5,7100.0,186.92,7.0,8.0,1
21856,15.34,5,138.0,100.34,1.0,12.0,0
21857,16.36,5,800.0,40.26,0.0,6.0,1
21858,11.85,4,217.0,46.84,0.0,7.0,1
21859,28.27,5,5400.0,307.27,1.0,9.0,1
21862,13.69,5,1500.0,108.72,4.0,13.0,0
21863,12.79,5,100.0,62.69,3.0,6.0,1
21864,84.07,4,583.0,126.56,0.0,11.0,0
21866,9.97,1,175.0,89.46,23.0,25.0,0
21867,9.94,5,800.0,38.94,2.0,2.0,1
21868,42.15,5,7750.0,241.15,3.0,8.0,1
21869,16.85,4,1088.0,633.5,6.0,13.0,0
21871,22.76,5,1100.0,603.03,3.0,15.0,0
21872,48.34,5,9950.0,177.34,2.0,13.0,0
21873,16.11,5,950.0,46.01,3.0,11.0,0
21874,15.1,3,550.0,65.1,2.0,17.0,0
21875,21.85,5,700.0,61.84,0.0,14.0,0
21876,13.43,5,1500.0,72.43,4.0,13.0,0
21877,15.1,4,100.0,28.07,1.0,14.0,0
21878,7.78,5,300.0,57.68,1.0,2.0,1
21879,17.78,5,416.0,208.61,3.0,22.0,0
21880,7.78,5,250.0,51.77,1.0,2.0,1
21881,16.74,5,1400.0,25.0,2.0,9.0,1
21882,16.74,5,1400.0,11.64,2.0,9.0,1
21885,20.12,4,1400.0,44.24,1.0,15.0,0
21886,16.11,5,500.0,42.11,2.0,8.0,1
21887,16.79,5,200.0,36.69,2.0,16.0,0
21888,19.28,5,200.0,219.18,6.0,11.0,0
21889,38.24,4,925.0,136.24,4.0,17.0,0
21890,12.79,5,150.0,36.78,3.0,5.0,1
21891,12.8,1,1000.0,78.7,1.0,11.0,0
21892,8.06,5,150.0,53.06,0.0,1.0,1
21893,17.13,3,1700.0,201.49,5.0,12.0,0
21894,34.27,3,1650.0,201.49,5.0,12.0,0
21895,17.14,3,2050.0,201.49,5.0,12.0,0
21896,19.36,4,8600.0,189.26,0.0,4.0,1
21897,15.42,1,200.0,110.42,0.0,32.0,0
21898,19.17,5,800.0,289.07,7.0,28.0,0
21899,15.18,5,700.0,16.08,3.0,16.0,0
21900,15.18,5,700.0,59.0,3.0,16.0,0
21901,18.42,5,225.0,63.42,0.0,5.0,1
21902,16.11,5,550.0,46.1,3.0,12.0,0
21903,15.38,5,1383.0,105.28,5.0,19.0,0
21904,17.72,5,800.0,297.62,1.0,13.0,0
21905,7.39,5,200.0,72.38,0.0,1.0,1
21906,22.69,1,2150.0,252.68,0.0,43.0,0
21907,18.71,5,350.0,83.7,5.0,13.0,0
21908,9.26,5,750.0,139.16,2.0,5.0,1
21909,11.84,5,1400.0,76.83,0.0,10.0,1
21910,10.52,5,10225.0,146.42,2.0,7.0,1
21911,23.68,5,1400.0,299.34,5.0,9.0,1
21913,0.0,5,2600.0,69.9,0.0,7.0,1
21914,17.32,4,389.0,73.25,0.0,8.0,1
21915,12.79,5,150.0,32.69,0.0,7.0,1
21916,20.05,5,700.0,143.04,1.0,7.0,1
21917,21.8,3,593.0,549.7,22.0,29.0,0
21918,17.66,1,200.0,76.65,2.0,13.0,0
21919,46.31,4,9450.0,256.31,1.0,10.0,1
21920,50.85,5,150.0,72.84,2.0,30.0,0
21921,27.97,5,10100.0,186.17,2.0,5.0,1
21922,22.47,5,3250.0,221.47,3.0,10.0,1
21923,15.94,1,200.0,167.94,1.0,44.0,0
21924,15.1,4,100.0,39.6,5.0,19.0,0
21925,19.6,4,579.0,329.5,2.0,19.0,0
21926,81.61,5,10893.0,156.51,1.0,10.0,1
21927,15.1,5,200.0,32.09,3.0,11.0,0
21928,12.79,5,550.0,25.77,0.0,9.0,1
21929,12.79,5,550.0,25.92,0.0,9.0,1
21930,18.3,1,900.0,78.2,4.0,32.0,0
21931,13.08,3,2600.0,82.98,2.0,4.0,1
21932,17.14,5,350.0,117.04,1.0,11.0,0
21933,13.59,5,250.0,49.49,0.0,6.0,1
21934,11.85,5,500.0,41.75,0.0,6.0,1
21935,41.4,4,292.0,220.39,2.0,25.0,0
21936,17.09,5,813.0,414.18,3.0,7.0,1
21938,11.85,5,100.0,61.85,2.0,8.0,1
21939,17.87,3,8000.0,106.87,7.0,31.0,0
21940,20.38,5,450.0,345.38,0.0,4.0,1
21941,16.62,5,1800.0,139.52,1.0,9.0,1
21942,27.14,4,4338.0,179.04,1.0,17.0,0
21943,12.52,4,1000.0,181.52,2.0,4.0,1
21944,16.79,5,350.0,46.76,0.0,11.0,0
21945,18.2,5,400.0,367.2,2.0,8.0,1
21947,24.71,5,2600.0,94.61,1.0,8.0,1
21948,15.1,3,700.0,61.0,3.0,13.0,0
21949,27.0,5,2550.0,126.9,1.0,6.0,1
21950,16.05,4,410.0,65.9,0.0,11.0,0
21952,45.0,1,1500.0,415.0,2.0,43.0,0
21953,15.11,2,553.0,39.01,3.0,11.0,0
21954,18.76,5,300.0,112.73,1.0,7.0,1
21955,31.74,5,12850.0,301.75,2.0,8.0,1
21956,31.74,5,12850.0,151.99,2.0,8.0,1
21957,16.32,5,500.0,56.31,0.0,6.0,1
21958,21.47,4,2374.0,161.46,1.0,9.0,1
21959,14.5,5,9400.0,124.4,4.0,9.0,1
21960,12.13,5,1383.0,102.03,0.0,6.0,1
21961,25.69,1,550.0,594.69,6.0,34.0,0
21962,20.8,4,200.0,63.79,0.0,23.0,0
21963,24.84,1,100.0,42.83,1.0,13.0,0
21964,15.1,5,575.0,56.89,1.0,6.0,1
21965,12.93,5,1170.0,60.42,3.0,10.0,1
21967,15.11,5,400.0,55.01,3.0,6.0,1
21968,18.41,5,150.0,62.21,1.0,7.0,1
21969,12.83,5,600.0,82.73,4.0,15.0,0
21970,40.44,5,1080.0,453.35,3.0,21.0,0
21971,19.5,5,5150.0,94.5,1.0,9.0,1
21972,36.79,4,14300.0,566.79,0.0,5.0,1
21973,17.6,5,1800.0,66.5,1.0,9.0,1
21974,17.67,5,6650.0,77.64,2.0,7.0,1
21975,0.0,4,584.0,99.9,1.0,5.0,1
21976,25.18,5,2800.0,130.18,4.0,15.0,0
21977,23.45,5,1150.0,184.45,0.0,12.0,0
21978,3.0,4,500.0,170.95,4.0,11.0,0
21979,29.95,4,8550.0,170.95,4.0,11.0,0
21980,7.39,5,200.0,21.04,0.0,5.0,1
21981,17.09,4,821.0,264.06,3.0,10.0,1
21982,17.09,4,821.0,150.08,3.0,10.0,1
21985,7.6,5,133.0,56.6,0.0,3.0,1
21986,14.52,5,200.0,27.51,0.0,11.0,0
21987,14.47,3,1550.0,273.48,4.0,16.0,0
21991,12.81,5,300.0,33.81,4.0,7.0,1
21992,17.83,4,538.0,216.83,7.0,19.0,0
21993,18.66,1,400.0,197.12,2.0,7.0,1
21995,17.41,2,4338.0,253.4,2.0,11.0,0
21996,21.36,5,1900.0,288.26,0.0,7.0,1
21997,53.63,1,1750.0,153.26,1.0,6.0,1
21998,5.36,1,200.0,153.26,1.0,6.0,1
22000,22.75,5,317.0,171.75,0.0,11.0,0
22001,18.71,5,1813.0,207.71,0.0,11.0,0
22002,20.98,5,2200.0,90.88,2.0,9.0,1
22003,50.0,5,550.0,95.0,3.0,9.0,1
22004,14.65,3,500.0,63.65,5.0,10.0,1
22005,15.23,5,250.0,44.23,1.0,11.0,0
22006,16.05,5,3000.0,65.05,2.0,8.0,1
22007,7.64,1,1750.0,62.54,0.0,5.0,1
22008,8.52,4,500.0,59.52,1.0,4.0,1
22009,11.73,5,3400.0,86.72,2.0,3.0,1
22010,8.03,4,150.0,118.03,3.0,4.0,1
22011,28.81,5,9750.0,233.81,1.0,12.0,0
22012,21.57,5,6400.0,249.57,1.0,5.0,1
22013,51.2,5,6700.0,181.1,3.0,9.0,1
22014,24.84,5,400.0,59.83,0.0,12.0,0
22015,17.95,4,1350.0,117.85,0.0,8.0,1
22016,35.52,2,16450.0,228.51,7.0,11.0,0
22017,11.99,1,1200.0,124.48,0.0,1.0,1
22018,21.2,1,400.0,28.19,1.0,22.0,0
22019,21.2,1,400.0,50.0,1.0,22.0,0
22020,35.48,1,13050.0,250.76,1.0,4.0,1
22022,21.55,1,850.0,521.54,2.0,9.0,1
22023,11.15,5,1200.0,38.35,0.0,1.0,1
22024,25.25,5,1950.0,125.15,3.0,24.0,0
22025,7.94,4,200.0,50.44,1.0,2.0,1
22026,15.15,5,400.0,72.15,2.0,16.0,0
22027,18.86,4,2100.0,248.85,4.0,17.0,0
22028,16.66,1,200.0,75.65,4.0,8.0,1
22029,13.62,5,1950.0,183.52,2.0,3.0,1
22030,11.94,5,425.0,681.84,0.0,4.0,1
22031,18.97,3,288.0,264.87,0.0,26.0,0
22032,26.34,5,2900.0,296.33,3.0,11.0,0
22033,26.05,2,1900.0,255.05,3.0,9.0,1
22034,16.46,3,1550.0,116.45,0.0,7.0,1
22035,15.44,1,150.0,95.34,20.0,27.0,0
22036,18.27,4,250.0,43.17,0.0,6.0,1
22037,15.1,5,350.0,41.0,0.0,6.0,1
22038,7.58,5,200.0,52.57,0.0,1.0,1
22039,15.23,4,200.0,64.23,1.0,7.0,1
22040,56.38,5,14000.0,213.37,6.0,23.0,0
22041,51.03,1,250.0,126.03,3.0,46.0,0
22042,15.16,5,200.0,74.16,1.0,5.0,1
22043,25.22,5,4900.0,79.22,1.0,8.0,1
22044,8.98,4,3500.0,98.98,0.0,2.0,1
22045,22.17,4,2400.0,262.16,1.0,8.0,1
22046,118.66,5,12250.0,348.66,3.0,12.0,0
22047,18.0,5,5100.0,128.0,0.0,14.0,0
22048,34.15,5,450.0,145.1,1.0,19.0,0
22050,8.3,2,245.0,88.09,12.0,14.0,0
22052,18.75,4,2500.0,118.65,2.0,6.0,1
22053,34.15,5,575.0,336.6,3.0,11.0,0
22057,7.39,5,600.0,94.85,3.0,4.0,1
22062,23.6,5,2800.0,128.6,2.0,8.0,1
22063,32.14,5,6700.0,230.64,1.0,15.0,0
22064,12.69,5,650.0,52.59,1.0,8.0,1
22065,85.34,4,15250.0,485.24,2.0,8.0,1
22066,58.75,5,10750.0,297.15,2.0,13.0,0
22068,15.48,5,250.0,69.48,3.0,5.0,1
22069,14.59,5,100.0,74.49,5.0,14.0,0
22070,11.76,3,200.0,176.76,5.0,11.0,0
22071,12.7,5,600.0,63.6,5.0,11.0,0
22073,13.44,4,1650.0,73.34,7.0,9.0,1
22074,14.52,5,1500.0,24.42,1.0,12.0,0
22075,14.52,5,1500.0,100.0,1.0,12.0,0
22076,17.98,1,675.0,76.98,6.0,11.0,0
22077,8.72,3,950.0,58.71,4.0,11.0,0
22078,16.25,5,2500.0,104.59,2.0,4.0,1
22079,17.88,5,1200.0,107.78,1.0,12.0,0
22080,12.81,4,1500.0,241.81,0.0,1.0,1
22081,0.0,5,584.0,99.9,2.0,9.0,1
22082,14.52,5,200.0,39.42,0.0,5.0,1
22083,19.68,4,1000.0,82.67,4.0,13.0,0
22084,25.83,5,350.0,104.73,2.0,10.0,1
22085,16.01,4,175.0,196.01,7.0,39.0,0
22086,16.11,5,700.0,81.72,1.0,11.0,0
22088,18.01,5,343.0,278.0,6.0,12.0,0
22089,39.2,2,225.0,165.7,3.0,37.0,0
22090,39.2,2,225.0,38.5,3.0,37.0,0
22093,16.71,3,458.0,296.61,2.0,19.0,0
22094,50.43,5,2700.0,1250.42,1.0,23.0,0
22095,13.84,5,1100.0,130.83,2.0,9.0,1
22096,19.59,1,350.0,264.59,9.0,35.0,0
22097,14.58,5,5850.0,74.48,1.0,6.0,1
22098,13.95,5,7474.0,162.85,0.0,5.0,1
22100,11.28,4,1500.0,48.17,2.0,3.0,1
22101,18.09,3,1800.0,137.99,4.0,11.0,0
22102,11.85,5,300.0,43.75,4.0,19.0,0
22103,60.56,5,1950.0,259.56,3.0,12.0,0
22104,18.83,5,314.0,122.83,1.0,8.0,1
22105,31.52,4,6550.0,150.0,3.0,27.0,0
22106,31.52,4,6550.0,0.52,3.0,27.0,0
22107,7.64,5,150.0,235.92,0.0,3.0,1
22109,13.55,5,1500.0,89.05,2.0,7.0,1
22110,13.43,5,1500.0,72.43,4.0,8.0,1
22111,57.25,5,7700.0,167.15,3.0,7.0,1
22112,19.69,3,5950.0,84.59,4.0,22.0,0
22113,16.33,5,2900.0,191.23,13.0,23.0,0
22114,18.27,5,250.0,42.07,2.0,5.0,1
22115,66.81,1,15150.0,353.21,4.0,53.0,0
22116,20.58,1,1200.0,183.16,32.0,37.0,0
22118,15.93,5,556.0,183.85,0.0,10.0,1
22119,11.85,5,350.0,46.85,2.0,11.0,0
22120,18.23,3,575.0,46.85,1.0,6.0,1
22121,35.56,5,16167.0,235.55,9.0,13.0,0
22122,16.79,1,200.0,33.78,1.0,25.0,0
22123,15.71,5,297.0,295.61,3.0,9.0,1
22124,9.45,4,167.0,189.44,0.0,1.0,1
22125,17.63,4,500.0,52.53,3.0,18.0,0
22126,46.78,3,5000.0,216.68,2.0,9.0,1
22127,37.13,5,17550.0,185.03,1.0,5.0,1
22128,15.1,5,200.0,65.09,0.0,4.0,1
22129,13.41,5,4650.0,228.41,1.0,4.0,1
22130,9.74,4,600.0,58.64,0.0,2.0,1
22131,25.77,5,10500.0,266.77,1.0,6.0,1
22132,23.56,1,2425.0,200.55,1.0,29.0,0
22133,0.1,5,517.0,96.83,3.0,10.0,1
22134,33.74,5,575.0,96.83,3.0,10.0,1
22135,16.12,5,400.0,75.72,1.0,9.0,1
22136,11.85,5,150.0,31.75,1.0,6.0,1
22137,17.92,5,600.0,271.28,4.0,19.0,0
22141,11.16,1,3875.0,62.28,0.0,1.0,1
22143,22.96,1,1550.0,76.86,5.0,61.0,0
22144,15.8,2,310.0,165.7,2.0,22.0,0
22145,20.74,5,1450.0,519.74,4.0,13.0,0
22146,16.35,3,263.0,245.35,0.0,15.0,0
22147,16.42,4,291.0,254.42,3.0,5.0,1
22148,18.23,3,400.0,41.54,0.0,5.0,1
22149,18.23,3,400.0,26.69,0.0,5.0,1
22150,15.1,5,200.0,50.0,3.0,10.0,1
22151,14.99,5,1650.0,112.49,0.0,6.0,1
22152,13.39,5,800.0,163.39,0.0,7.0,1
22153,23.75,5,1350.0,159.65,1.0,10.0,1
22154,13.71,5,260.0,53.7,0.0,6.0,1
22155,15.36,4,600.0,100.0,3.0,13.0,0
22156,15.36,4,600.0,1.26,3.0,13.0,0
22157,15.23,4,250.0,28.22,1.0,4.0,1
22158,22.26,5,180.0,101.16,0.0,8.0,1
22159,15.23,5,250.0,31.13,1.0,9.0,1
22160,17.93,5,450.0,219.32,0.0,3.0,1
22164,7.79,4,238.0,83.69,1.0,10.0,1
22167,25.57,5,2800.0,130.57,2.0,6.0,1
22168,15.11,1,700.0,61.1,10.0,19.0,0
22169,23.31,5,850.0,312.84,3.0,7.0,1
22173,18.38,5,3250.0,228.38,0.0,13.0,0
22174,30.66,3,1600.0,293.67,2.0,9.0,1
22175,4.02,3,2200.0,293.67,2.0,9.0,1
22177,13.47,1,1720.0,78.36,10.0,28.0,0
22178,73.63,4,6550.0,222.63,1.0,15.0,0
22179,19.47,5,300.0,59.37,4.0,11.0,0
22180,14.52,4,300.0,44.26,5.0,19.0,0
22181,12.7,5,600.0,63.6,6.0,14.0,0
22182,16.65,5,2600.0,473.1,2.0,16.0,0
22184,9.14,4,300.0,208.54,3.0,5.0,1
22185,16.98,3,1000.0,93.98,16.0,26.0,0
22186,11.35,3,1250.0,115.25,0.0,1.0,1
22187,14.15,1,250.0,50.0,5.0,13.0,0
22188,14.15,1,250.0,21.14,5.0,13.0,0
22189,17.95,5,1225.0,117.85,10.0,22.0,0
22190,19.45,5,1025.0,112.9,0.0,7.0,1
22192,16.46,5,500.0,116.36,7.0,13.0,0
22195,16.07,1,125.0,204.07,7.0,15.0,0
22196,7.39,4,264.0,42.64,8.0,8.0,1
22197,7.39,4,264.0,37.94,8.0,8.0,1
22201,7.39,4,125.0,68.64,1.0,5.0,1
22204,15.23,5,400.0,64.23,1.0,7.0,1
22205,17.03,5,2750.0,206.03,2.0,9.0,1
22206,19.32,5,850.0,48.81,3.0,10.0,1
22207,23.33,4,4450.0,136.32,2.0,23.0,0
22208,14.09,1,750.0,86.99,1.0,7.0,1
22209,16.49,5,1211.0,121.39,0.0,17.0,0
22210,18.23,5,67.0,28.03,1.0,8.0,1
22211,18.26,4,200.0,72.25,1.0,9.0,1
22212,12.7,5,500.0,112.69,2.0,4.0,1
22213,15.66,5,550.0,145.56,2.0,8.0,1
22214,15.1,3,300.0,43.09,3.0,16.0,0
22215,8.29,4,400.0,44.19,0.0,1.0,1
22216,7.6,5,250.0,56.6,4.0,6.0,1
22217,14.87,1,1383.0,94.77,1.0,7.0,1
22218,15.15,5,400.0,72.14,5.0,23.0,0
22219,0.0,5,1550.0,53.9,0.0,9.0,1
22220,35.8,2,3060.0,1415.8,3.0,17.0,0
22221,12.69,5,378.0,132.54,4.0,10.0,1
22224,118.6,5,10600.0,188.5,3.0,7.0,1
22225,14.58,5,100.0,72.48,0.0,15.0,0
22226,16.73,5,2152.0,155.23,4.0,11.0,0
22227,13.37,5,800.0,104.54,2.0,8.0,1
22229,21.66,5,400.0,144.65,1.0,12.0,0
22230,9.27,5,500.0,47.67,3.0,4.0,1
22231,19.0,4,488.0,146.9,0.0,6.0,1
22232,8.64,5,286.0,53.63,0.0,1.0,1
22233,37.05,3,16650.0,257.04,6.0,16.0,0
22234,8.88,5,500.0,97.56,0.0,3.0,1
22236,46.0,5,11325.0,191.0,1.0,4.0,1
22237,16.92,2,1374.0,637.02,0.0,16.0,0
22238,26.69,5,2900.0,305.69,2.0,10.0,1
22239,15.35,5,1500.0,100.35,11.0,18.0,0
22240,20.99,5,1750.0,70.89,1.0,5.0,1
22241,17.74,1,800.0,87.64,7.0,20.0,0
22242,15.47,5,210.0,99.37,3.0,11.0,0
22243,14.17,5,500.0,74.07,3.0,20.0,0
22244,27.87,5,2750.0,186.87,1.0,14.0,0
22245,12.9,5,250.0,47.29,5.0,8.0,1
22246,8.29,5,1875.0,25.29,2.0,7.0,1
22247,22.62,5,250.0,282.52,1.0,10.0,1
22248,16.05,5,200.0,29.95,3.0,17.0,0
22249,16.87,1,550.0,104.87,4.0,49.0,0
22250,15.57,5,550.0,275.34,0.0,13.0,0
22251,51.32,5,9050.0,1011.31,1.0,10.0,1
22252,15.72,4,50.0,104.72,6.0,9.0,1
22253,17.6,1,888.0,56.49,3.0,44.0,0
22254,7.39,3,1110.0,61.38,7.0,8.0,1
22255,17.49,5,10150.0,155.49,4.0,11.0,0
22256,22.06,4,350.0,22.79,0.0,6.0,1
22257,22.06,4,350.0,11.27,0.0,6.0,1
22258,15.59,5,2600.0,135.49,7.0,8.0,1
22259,12.48,4,150.0,31.38,0.0,12.0,0
22260,13.46,4,1500.0,67.36,5.0,11.0,0
22261,19.41,3,346.0,238.41,4.0,25.0,0
22262,18.98,4,1600.0,118.88,2.0,16.0,0
22263,18.53,1,3650.0,358.53,35.0,40.0,0
22264,17.45,4,300.0,546.45,2.0,13.0,0
22265,12.69,5,600.0,29.41,4.0,12.0,0
22266,18.15,5,1350.0,146.71,0.0,15.0,0
22267,16.06,5,350.0,175.06,3.0,9.0,1
22268,10.96,3,950.0,43.86,0.0,2.0,1
